Id1,Frequency1,Kanji1,Type1,Meaning1,Meaning2,Meaning3,Bushu1,Bushu2,Bushu3,Bushu4,Radical1,Radical2,Radical3,Radical4,Onyomi_Reading1,Onyomi_Reading2,Kunyomi_Reading1,Kunyomi_Reading2,Mnemonic,Notes
286,41,"合",Kanji,suitable,,,"𠆢","一口",,,roof,"one mouth",,,GOU,GATSU,a.u,,"It suits.m a provider to put a roof.r over one.r mouth.r. Go.o to Austria.k where it is suitable.",
287,4,"会",Kanji,meet,,,"𠆢","云",,,roof,it-is-said,,,KAI,,a.u,,"Meeting.m under a roof.r, it-is-said.r that Kyle.o plotted to oust the Austrian.k dictator.",
288,49,"今",Kanji,now,,,"𠆢",,,,roof,"katakana RA",,,KON,,ima,,"Now.m looks like a roof.r over katakana.r ラ.r. Con.ogratulations! Now what an ima.kgination!",
289,804,"令",Kanji,command,,,"𠆢","丶 ","卩",,roof,bloody,seal,,REI,,,,"Command.m the roofers.r to seal.r the bunker to rays.o can't penetrate.","In some fonts, command's, 令, seal radical,卩, looks like a mammal/katakana MA, マ."
290,466,"含",Kanji,contain,,,"今","口",,,now,mouth,,,GAN,,fuku.mu,,"Contain.m right now.r your mouth.r! It's like ganja.o! The fuck.k man.k? Contain yourself.",
291,667,"冷",Kanji,cold,,,"冫","令",,,icicle,command,,,REI,,tsume.tai,sa.meru,"The cold.m and icey.r commands.r. Ray.o stumbled.k to melt the same.k cold ice.",
292,465,"命",Kanji,lifespan,,,"令","口",,,command,mouth,,,MEI,,inochi,,"Lifespan.m is destined by the command.r of his mouth.r. He may.o shorten innocents'.k lifespan.",
293,,"侖",Radical,cognition,,,"𠆢","一",,,roof,one,"counter for books",,RIN,,,,"Cognition.m involves sitting under a roof.r and reading not one.r but countless.r books.r.","This radical never appears by itself, only as a part of other characters."
294,227,"論",Kanji,argue,,,"言","侖",,,talk,cognition,,,RON,,,,"Argument.m is talking.r and cognition.r. Ron.o argues alot.",
295,,"𠃌",Radical,rake,,,"一","亅",,,one,barb,,,,,,,"A rake.m has more than one.r barb.r attached to a stick.","This radical never appears by itself, only as a part of other characters."
296,759,"司",Kanji,director,,,"𠃌","一口",,,rake,"one mouth",,,SHI,,tsukado.ru,,"The director.m stuck a rake.r into one.r mouth.r of her students. She.o in particular, punishes tsuckers.k sadistically.",
297,15,"同",Kanji,same,,,"冂","一口",,,staple,"one mouth",,,DOU,,ona.ji,,"The same.m dude stapled.r his one.r mouth.r. The same dope.o drank orange.k juice.k.",
298,1422,"豆",Kanji,bean,,,"一口","䒑",,,"one mouth","sewer lid",,,TOU,,mame,,"The beans.m go into one.r mouth.r and out your sewer.r lid.r. Beans can totally.o maim.k your butt.",
299,1794,"刀",Kanji,sword,,,"丿","𠃌",,,slash,rake,,,TOU,,katana,,"A sword.m can slash.r better than a rake.r. Cut his toe.o off with a katana.k!",
300,1763,"刃",Kanji,blade,,,"丶 ","刀",,,bloody,sword,,,NIN,,ha,,"The blade.m of a bloody.r sword.r will cut the ninja.o and ha.kck him up.",
301,24,"分",Kanji,understand,,,"八","刀",,,eight,sword,,,FUN,BUN,wa.karu,wa.keru,"I understand.m that dividing it into eight.r with a sword.r will make the buns.o look wacky.k.",
302,118,"公",Kanji,public,,,"八","厶",,,eight,private,,,KOU,,ooyake,,"The public.m got eight.r private.r properties. A public gift from a cou.orageous oil.k ca.kptain.",
303,,"㕣",Radical,marsh,,,"八","口",,,eight,mouth,,,,,,,"The marsh.m has eight.r mouths.r that feed into streams.",
304,262,"台",Kanji,pedestal,,,"厶","口",,,private,mouth,,,DAI,TAI,,,"On the pedestal.m of his private.r property, he mouthed.r off. You'll die.o if you tie.o your shoes on his pedestal.",
305,1540,"召",Kanji,summon,,,"刀","口",,,sword,mouth,,,SHOU,,me.su,,"Summon.m him with a sword.r to his mouth.r. If the summoned shows.o up messy.k, slay him.",
306,1121,"沿",Kanji,along,,,"⺡","㕣",,,"water splash",marsh,,,EN,,so.u,zo.i,"Along.m the waterways.r of feeding into the marshes.r, entry.o into the soil.k, all along hid the monster.",
307,109,"治",Kanji,govern,,,"⺡","台",,,"water splash",pedestal,,,JI,,nao.ru,osa.meru,"He governs.m the water.r ways from his pedestal.r. Jesus.o governs Nairobi.k! Oh.k Samaritans.k!",
308,1467,"沼",Kanji,wetland,,,"⺡","召",,,"water splash",summon,,,SHOU,,numa,,"The marsh.m water.r summoned.r him. He showed.o up to the marshes under a new.k moon.k.",
309,244,"始",Kanji,start,,,"女","台",,,woman,pedestal,,,SHI,,haji.maru,haji.meru,"Start.m by putting women.r on pedestals.r. She.o in particular, started and has.k Jimmy.k.",
310,508,"谷",Kanji,valley,,,"㕣","𠆢",,,marsh,roof,,,KOKU,,tani,,"In the valley's.m marshes.r hide it under roofs.r. They harvest cocaine.o and tan.k in the valley.",
311,263,"広",Kanji,wide,,,"广","厶",,,"bloody cliff",private,,,KOU,,hiro.i,hiro.garu,"The wide.m bloody.r cliff.r is private.r property that cou.orageous heroes.k defend.",
312,611,"拡",Kanji,spread,,,"⺘","広",,,"left hand",wide,,,KOU,,hiro.garu,hiro.geru,"Spread.m it with your hand.r real wide.r. The cou.orageous hero.k will spread justice.",
313,2358,"允",Kanji,permit,,,"厶","儿",,,private,legs,,,IN,,,,"Permit.m us to walk through private.r property with our legs.r in.oside here.",
314,949,"充",Kanji,allot,,,"亠","允",,,lid,permit,,,JUU,,a.teru,,"Allotment.m of stockings to privately.r cover legs.r. Jews.o alloted them better atire.k.",
315,125,"統",Kanji,dominate,,,"糸","充",,,thread,allot,,,TOU,,su.beru,,"The dominating.m class pulls the threads.r and allots.r resources, totally.o dominating subversives.k.",
316,280,"流",Kanji,pour,,,"⺡","充","川",,"water splash",allot,river,,RYUU,,naga.reru,naga.su,"Pour.m the water.r alloted.r to us into the river.r. The rule.o is to pour or they'll nag.k at.k us.k.",
317,1168,"洗",Kanji,wash,,,"⺡","先",,,"water splash",previous,,,SEN,,ara.u,,"We washed.m with water.r previously.r. Washing sen.osually arouses.k us.",
318,369,"育",Kanji,"grow up",,,"亠","厶","月",,lid,private,month,,IKU,,soda.tsu,soda.teru,"I grew.m up.m beaten with a lid.r in private.r every month.r. I.Q..o was stunted. I grew up drinking soda.k.",
319,440,"去",Kanji,past,,,"土","厶",,,ground,private,,,KYO,KO,sa.ru,,"Bury the past.m in ground.r privately.r. The past is a coyote.o that stalks you sar.kdonically.",
320,100,"法",Kanji,method,,,"⺡","去",,,"water splash",past,,,HOU,,nori,,"The method.m pumps water.r into the past.r. The hoe's.o method was notoriously.k subtle.",
321,570,"母",Kanji,mother,,,"一",L,"𠃌","丶 ",one,"letter L",rake,bloody,BO,,haha,kaasan,"Mother.m beat me once.r with an L-shaped.r rake.r. That bloody.r bitch. It bo.others mother when Casey.k laughs at her, #HAHA!.k",
322,,"毋",Radical,deny,,,"母","丿",,,mother,slash,,,,,,,"If you deny.m your mother.r you'll get slashed.r.!","This radical never appears by itself, only as a part of other characters."
323,436,"毎",Kanji,every,,,"𠂉",,,,gun,motherfucker,,,MAI,,goto,,"Every.m gun.r permit got denied.r it. It might.o take everything you got.k to get one.",
324,1509,"亜",Kanji,Asia,,,"工","中",,,industry,middle,,,A,,,,"In Asian.m industry.r is the middle.r of everything. Asia with an A.o.",
325,530,"悪",Kanji,bad,,,"亜","心",,,Asia,heart,,,AKU,,waru.i,,"Bad.m guys in Asia.r have a corrupt heart.r. Acqu.oiring kindness from their wary.k heart is rare.",
326,,"彳",Radical,loiter,,,"丿","⺅",,,slash,"standing man",,,,,,,"Loiter.m by his house then slash.r the standing.r man.r as he exists!","This radical never appears by itself, only as a part of other characters."
327,20,"行",Kanji,"to go",,,"彳","二","丁",,loiter,two,street,,KOU,,i.ku,yu.ku,"Go.m and don't loiter.r. Cross two.r streets.r! Apply cou.orage and IQ.k to go on this trip to Yuca.ktan.","行, 'to go,' also has a third less common kunyomi of okona.u meaning 'to perform.' 'to carry out.'"
328,1421,"往",Kanji,travel,,,"彳","主",,,loiter,master,,,OU,,,,"Travel.m but don't loiter.r in the master's.r territory. Ow.ols travel far.",
329,270,"住",Kanji,live,,,"⺅","主",,,"standing man",master,,,JUU,,su.mu,,"He lives.m by the standing.r man.r, his master.r. Jew.oish law summons.k him to live there.",
330,,"隹",Radical,turkey,,,"住","亠",,,live,lid,,,,,,,"The turkey.m lives.r under a lid.r in a cage.","This radical never appears by itself, only as a part of other characters."
331,142,"進",Kanji,progress,,,"隹","⻌",,,turkey,motion,,,SHIN,,susu.mu,susu.meru,"Progressing.m, the turkey.r moved in slow motion.r. The shining.o civilization of Sumerian.k livestock progressed.",
332,333,"車",Kanji,car,,,"二",|,"田",,two,bar,field,,SHA,,kuruma,,"A car.m connects two.r wheels to a bar.r to cross fields.r. The sha.oman drives a hybrid car for karma.k.",
333,189,"軍",Kanji,military,,,"冖","車",,,hat,car,,,GUN,,,,"The military.m wears hats.r, drives cars.r, and carries guns.o.",
334,1351,"虫",Kanji,insect,,,"中","入",,,middle,enter,,,CHUU,,mushi,,"Insects.m, through the middle.r, entered.r the hive. We choose.o to mush.k the bugs.
",
335,,"几",Radical,table,,,"丿","⺃",,,slash,hook,,,,,,,"The table.m got slashed.r by a hooked.r pirate. Argh!","This radical never appears by itself, only as a part of other characters."
336,1730,"凡",Kanji,mediocre,,,"几","丶 ",,,table,bloody,,,BON,HAN,oyo.su,,"On a mediocre.m table.r lay a bloody.r bone.o.",
337,1782,"冗",Kanji,useless,,,"冖","几",,,hat,table,,,JOU,,,,"A useless.m hat.r lay on the table.r. Joe.o abandoned useless things.",
338,,"亢",Radical,joy,,,"亠","几",,,lid,table,,,KOU,,,,"What joy.m to lay my soldier's lid.r on the table.r and cou.orageously embrace peace!",
339,558,"風",Kanji,wind,,,"几","虫",,,table,insect,,,FUU,,kaze,,"The wind.m blew the bug.r off the table.r. The wind blew the fool.o into the case.k.",
340,314,"可",Kanji,acceptable,,,"丁","口",,,street,mouth,,,KA,,be.ki,,"It's acceptable.m to mouth.r off in the streets.r of Ca.onada.",
341,340,"何",Kanji,what,,,"⺅","可",,,"standing man",acceptable,,,KA,,nani,,"What.m is acceptable.r for the standing.r man.r in the Ca.onadian nanny.k state?",
342,810,"曲",Kanji,bend,,,"由",|,,,reason,bar,,,KYOKU,,ma.garu,,"To bend.m her over is the reason.r I play at the bar.r in the kiosk.o for mah.k girl.k.",
343,1055,"典",Kanji,code,,,"曲","八",,,bend,eight,,,TEN,,,,"The code.m was bent.r eight.r times. No, it was ten.o times until we broke the code.",
344,,"冖",Radical,hat,,,"冖",,,,"downwards bracket",,,,,,,,"Hat.m looks like a bracket.r facing downwards.","This radical never appears by itself, only as a part of other characters."
345,1076,"片",Kanji,fragment,,,"丿",K,,,slash,"capital K",,,HEN,,kata,,"A fragment.m shaped like a K.r slashed.r the hen.o that became catatonic.k from shock.",
346,1669,"寸",Kanji,inch,,,"一","亅","丶 ",,one,barb,bloody,,SUN,,,,"Every inch.m had one.r bloody.r barbed.r wire fence. We'll soon.o die here.",
347,322,"付",Kanji,attach,,,"⺅","寸",,,"standing man",inch,,,FU,,tsu.ku,tsu.keru,"Attached.m to the standing.r man.r is an inch.r worm. F.o U.!.o he screams at the attached blood-#tsucker.k!",
348,213,"団",Kanji,group,,,"囗","寸",,,box,inch,,,DAN,,,,"The group.m put him in a box.r with inch.r thick walls. Dan.o wasn't in the group.",
349,,"宀",Radical,crown,,,"丶 ","冖",,,bloody,hat,,,,,,,"A crown.m is just a bloody.r hat.r!","This radical never appears by itself, only as a part of other characters."
350,,"乇",Radical,whip,,,"丿","七",,,slash,seven,,,TAKU,,,,"Whip.m and slash.r the prisoner seven.r times.","This radical never appears by itself, only as a part of other characters."
351,357,"宅",Kanji,house,,,"宀","乇",,,crown,whip,,,TAKU,,,,"In the house.m, she'll wear the crown.r and pussy whip.r you. She can take.o your.o house from you.",
352,457,"守",Kanji,protect,,,"宀","寸",,,crown,inch,,,SHU,SU,mamo.ru,mamo.ri,"Protect.m the crown.r! Every inch.r! Shoot.o back and protect Sue.o so you get memorialized.k.",
353,1366,"穴",Kanji,hole,,,"宀","八",,,crown,eight,,,KETSU,,ana,,"The hole.m in the crown.r was eight.r cm wide. Ketchup.o oozed out of Anna's.k hole :-p",
354,224,"半",Kanji,half,,,,"二",|,,horns,two,bar,,HAN,,naka.ba,,"Half.m the horny.r guys put two.r bars.r up their butts. Han.o has a nack.k for bashing.k butts.",
355,1852,"羊",Kanji,sheep,,,,"三",|,,horns,three,bar,,YOU,,hitsuji,,"You do sheep.m with your horny.r three.r cm bar.r. You,.o and,o only.o you,.o fuck hysterical.k sheep.",
356,341,"南",Kanji,south,,,"十","冂","羊",,ten,staple,sheep,,NAN,,minami,,"In the South.m, ten.r staples.r were put into sheep.r. The nanny.o minimized.k the amount of beastiality in the South.","The sheep radical, 羊, is missing a horizonal stroke."
357,1060,"看",Kanji,"take care of",,,"手","目",,,hand,eye,,,KAN,,mi.ru,,"Take.m care.m of.m your hands.r and eyes.r. You can.o take care of yourself looking in a mirror.k.",
358,376,"着",Kanji,wear,,,"羊","丿","目",,sheep,slash,eye,,CHAKU,,ki.ru,tsu.ku,"Wear.m sheep.r skin. We slashed.r his eye.r. Check.o out the kilt.k that tsucker.k wears.","Also means 'arrive' with kunyomi tsu.ku."
359,449,"差",Kanji,variation,,,"羊","左",,,sheep,left,,,SA,,sa.su,,"The variation.m between the sheep.r on the left.r is that, sadly.o, they are sassy.k bitches.",
360,805,"角",Kanji,corner,,,"ク","用",,,skull,utilize,,,KAKU,,kado,,"A corner.m of the skull.r is utilized.r to control the cock.o of the cadet.k.","Corner has the 'utilize' 用 without the stick protruding at the bottom."
361,275,"再",Kanji,"once more",,,"工","円",,,industry,yen,,,SAI,,futata.bi,,"Once.m more,.m industry.r earned some yen.r. Sigh.o. Once more communism proves futile.k.","再, 'once more,' looks a lot like 甫, 'initially.'"
362,,"⺎",Radical,pirate,,,"一","儿",,,one,legs,,,,,,,"The pirate.m is missing one.r of his legs.r.","This radical never appears by itself, only as a part of other characters."
363,527,"光",Kanji,light,,,"⺌","⺎",,,sparkles,pirate,,,KOU,,hika.ru,,"The light.m of the sparkes.r gave the pirate.r the cou.orage to light the old hickory.k ship on fire.",
364,192,"元",Kanji,origin,,,"二","⺎",,,two,pirate,,,GEN,,moto,,"The original.m two.r pirates.r were gentlemen.o in motorcycle.k gangs.",
365,257,"挙",Kanji,raise,,,"光","手",,,light,hand,,,KYO,,a.garu,a.geru,"Raise.m the light.r with your hand.r. Raise it so the coyotes.o agree.k to leave.",
366,595,"完",Kanji,complete,,,"宀","元",,,crown,origin,,,KAN,,,,"The completion.m of the crown's.r conquests originated.r with Genghis Khan.o.",
367,,"ヶ",Radical,keg,,,"ケ","𠂉","丿",,"katakana KE",gun,slash,,,,,,"Keg.m is spelled with katakana.r ヶ.r which also looks like a gun.r and slash.r.","This radical never appears by itself, but it is the same shape as katakana KE."
368,593,"竹",Kanji,bamboo,,,"ヶ","𠂉","亅",,keg,gun,barb,,CHIKU,,take,,"Hurl the bamboo.m kegs.r filled with gun.rpowder over the barbed.r wire. Make the chicks.o take.k the bamboo kegs.",
369,135,"世",Kanji,society,,,L,"廿",,,"letter L",score,,,SE,,yo,,"Society.m uses L.rs to keep score.r. Like se.ox with yo.k mama, society makes no sense.",
370,,"枼",Radical,plank,,,"世","木",,,society,tree,,,,,,,"The planks.m of society.r are made of tree.r wood.","This radical never appears by itself, only as a part of other characters."
371,414,"葉",Kanji,leaf,,,"⺾","枼",,,plant,plank,,,YOU,,ha,ba,"A leaf.m of a plant.r is flat as a plank.r. You,.o and.o only.o you.o, have.k a leaf.",
372,472,"非",Kanji,mistake,,,"三","ﾉl",,,three,"broken legs",,,HI,,ara.zu,,"Their mistake.m led to three.r broken.r legs.r. He.o in particular, mistakenly aroused.k their anger.",
373,1137,"俳",Kanji,actor,,,"⺅","非",,,"standing man",mistake,,,HAI,,,,"An actor.m is the standing.r man.r making mistakes.r on stage. High.o up there, he finds glory.",
374,186,"面",Kanji,surface,,,"一","自","囗",,one,oneself,box,,MEN,,omo,omote,"On the surace.m, they're number one.r. But they're hiding themselves.r in a box.r. Men.o are ominously.k superficial.",
375,178,"交",Kanji,mix,,,"亠","父",,,lid,father,,,KOU,,maji.waru,maji.eru,"Mix.m it up, put a lid.r on it and give it to father.r. That cow.oard magically.k downs mixed drinks.",
376,144,"安",Kanji,cheap,,,"宀","女",,,crown,woman,,,AN,,yasu.i,,"It's easy.m to take the cheap.m crown.r from that woman.r. An.o empress asked and she said yes.k.",
377,423,"好",Kanji,like,,,"女","子",,,woman,child,,,KOU,,kono.mu,,"We like.m women.r and children.r. They are cou.orageous and like the economy.k.",
378,,"龷",Radical,picket,,,"二",|,|,,two,bar,bar,,,,,,"The picket.m posts have two.r bars.r.","This radical never appears by itself, only as a part of other characters."
379,174,"共",Kanji,together,,,"龷","八",,,picket,eight,,,KYOU,,tomo,,"Together,.m they will picket.r against eight.r companies in Kyoto.o tomorrow.k.",
380,313,"供",Kanji,offer,,,"⺅","共",,,"standing man",together,,,KYOU,,domo,,"Offer.m to the standing.r man.r both options together.r: Work in Kyoto.o or the domestic.k offer.",
381,631,"異",Kanji,abnormal,,,"田","共",,,field,together,,,I,,koto.naru,,"The abnormals.m fight in the fields.r together.r. I,.o and.o only.o I.o, shoot an abnormal cotton.r arrow.k.",
382,1240,"黄",Kanji,yellow,,,"龷","由","八",,picket,reason,eight,,OU,KOU,ki,,"The yellow.m picket.r was the reason.r those eight.r owls showed up. The cow.oardly ow.ols keep.k pissing yellow on it.",
383,,"𦰩",Radical,hardship,,,"⺾","◫","夫",,plant,eclipse,husband,,KAN,TAN,,,"The hardship.m of planting.r during an eclipse.r was borne by the husband.r who can.o tan.o well.","This radical never appears by itself, only as a part of other characters."
384,1487,"漢",Kanji,China,,,"⺡","𦰩",,,"water splash",hardship,,,KAN,,,,"In China.m, they suffered water.r shortages and hardship.r under Genghis Khan.o.","THIS IS HOW YOU WRITE THE ACTUAL WORD FOR KANJI, 漢字!"
385,485,"字",Kanji,letter,,,"宀","子",,,crown,child,,,JI,,aza,,"The letters.m were inscribed on the crown.r by a child.r genius.o who could spell Azerbaijan.k.","THIS IS HOW YOU WRITE THE ACTUAL WORD FOR KANJI, 漢字!"
386,,"龸",Radical,tiara,,,"⺌","冖","宀",,sparkles,hat,crown,,,,,,"A tiara.m is a sparkling.r hat.r, a type of crown.r.","This radical never appears by itself, only as a part of other characters."
387,63,"学",Kanji,study,,,"龸","子",,,tiara,child,,,GAKU,,mana.bu,,"Studying.m is a tiara.r on a child's.r mind. He gawked.o at and studied the manual.k book.k.",
388,710,"覚",Kanji,remember,,,"龸",,,,tiara,,,,KAKU,,obo.eru,sa.meru,"Remember.m the tiara.r that you see.r. Those cocks.r remember to over.k rule.k you all the same.k.",
389,159,"支",Kanji,support,,,"十","又",,,ten,again,,,SHI,,sasa.eru,,"Supported.m by branches,.m ten.r were upheld again.r. She.o in particular, supported a branch and was sassy.k about it.",
390,1092,"皮",Kanji,peel,,,"厂","支",,,cliff,support,,,HI,,kawa,,"He peeled.m his skin falling off a cliff.r but he supported.r himself on the edge. He.o in particular, peeled his skin as he slid off a Kawasaki.k bike.",
391,191,"反",Kanji,against,,,"厂","又",,,cliff,again,,,HAN,,,,"Against.m the edge of a cliff.r again,.r Han.o fought those against him.",
392,,"伎",Kanji,deed,,,"⺅","支",,,"standing man",support,,,KI,,,,"The deeds.m of the standing.r man.r supported.r him. He keeps.o his skills sharp.",
393,648,"彼",Kanji,"he (informal)",,,"彳","皮",,,loiter,peel,,,HI,,kare,,"He.m loiters.r about and eats apple peels.r. He.o in particular, doesn't care.k.",
394,1039,"仮",Kanji,temporary,,,"⺅","反",,,"standing man",against,,,KA,,karini,,"Temporarily.m, the standing.r man.r was against.r carbs. The Ca.onadian was a temporary carnivore.k.",
395,26,"後",Kanji,after,,,"彳","幺","夂",,loiter,string,late,,GO,,ato,ushi.ro,"After.m loitering.r, we silly stringed.r the wall late.r at night. Afterwards we go.o fire auto.kmatic weapons.",
396,,"⺘",Radical,"left hand",,,"二","亅",,,two,barb,,,,,,,"My left.m hand.m got pricked by two.r barbs.r from the wire.","The 'left hand,' ⺘radical is a variant of 'hand,'  手."
397,434,"技",Kanji,skill,,,"⺘","支",,,"left hand",support,,,GI,,waza,,"The skill.m of his hand.r supports.r him. The G.I..o is skilled in wasa.kbi cuisine.",
398,813,"払",Kanji,pay,,,"⺘","厶",,,"left hand",private,,,FUTSU,,hara.u,,"Pay.m and hand.r me the private.r equity revenue. Pay or my foot.o soldiers will harrass.k you.",
399,126,"以",Kanji,"at least",,,"𠄌","丶 ","人",,scythe,bloody,person,,I,,mot.te,,"At.m least.m use a scythe.r to slay that bloody.r person.r. I,.o and.o only.o I.o, have a motto.k at least as cool his.",
400,237,"示",Kanji,"point out",,,"二","小",,,two,small,,,JI,,shime.su,,"Point.m it out.m with two.r small.r fingers. The Jeep.o, she.k mess.ked u.kp and I pointed it out.",
401,997,"宗",Kanji,religion,,,"宀","示",,,crown,"point out",,,SHUU,,mune,,"The religion.m crowned.r a messiah and pointed.r you out.r. Give your shoes.o and money.k to the religion.",
402,843,"困",Kanji,distressed,,,"囗","木",,,box,tree,,,KON,,koma.ru,,"Distressed.m because a tree.r boxed.r in the vehicle, the con.o artist crashed the Camaro.k.",
403,1096,"里",Kanji,village,,,"田","土",,,field,ground,,,RI,,sato,,"The village.m was just fields.r and dirt grounds.r. 'Twas really.o boring on Saturday.k too.",
404,573,"黒",Kanji,black,,,"里","⺣",,,village,"bottom fire",,,KOKU,,kuro.i,,"Pitch black,.m the village.r fire.r burned all night. The cocaine.o leaves were cured.k in the process.",
405,452,"門",Kanji,gates,,,|,"日","日","亅",bar,day,day,barb,MON,,,,"The gate's.m bars.r and barbs.r were breached to#day.r. Shaolin monks.o defended the gates. ",
406,64,"問",Kanji,problem,,,"門","口",,,gates,mouth,,,MON,,to.u,,"The problem.m is that gates.r are like a mouth.r into the soul. Monks.o tow.k the draw bridge and shut problems out.",
407,33,"間",Kanji,interval,,,"門","日",,,gates,day,,,KAN,GEN,aida,,"During the interval.m that the gates.r are open during the day.r, a gen.otleman can.o aide.k the enemy to sneak in.",
408,1328,"耳",Kanji,ear,,,"目",|,,,eye,bar,,,JI,,mimi,,"Use your ears.m and eyes.r at the bar.r. Dance geniuses.o mimicks.k the rythm with the ear.",
409,319,"聞",Kanji,ask,,,"門","耳",,,gates,ear,,,BUN,,ki.ku,,"Ask.m and listen.m. Open the gates.r of your ears.r. Bunny.o rabbits have ears to listen, not kick.k.",
410,59,"開",Kanji,open,,,"門","开",,,gates,shrine,,,KAI,,a.ku,a.keru,"Open.m the gates.r of the shrine.r! Let the kites.o pass thru the acute.k opening.",
411,1497,"才",Kanji,genius,,,"オ",,,,"katakana O",,,,SAI,,,,"The genius.m learned katakana.r オ.r as a baby. I sigh.o with awe at his genius.",
412,951,"閉",Kanji,close,,,"門","才",,,gates,genius,,,HEI,,shi.maru,to.jiru,"Close.m the gates.r to contain the genius.r. I hate.o the close-minded who like to.k joke.k about she-males.k. ",
413,320,"身",Kanji,"social status",,,"自","才",,,oneself,genius,,,SHIN,,mi,,"The social.m status.m of oneself.r to slash.r if a genius.r, is high. Shine.o like me.k in particular, with status.",
414,,"乍",Kanji,while,,,"ヶ","二",,,keg,two,,,,,nagara,,"While.m doing keg.r stands, I chugged two.r beers.","Rare kanji. Mostly used as a radical. The kunyomi is usually just written in hiragana."
415,103,"作",Kanji,make,,,"⺅","乍",,,"standing man",while,,,SAKU,SA,tsuku.ru,,"Make.m something! A standing.r man.r produces.r. Your sack.o is sadly.o empty like a tsucker.k.",
416,226,"昨",Kanji,yesterday,,,"日","乍",,,day,while,,,SAKU,,kinou,,"Yesterday.m while.r 'twas yet day.r, I hauled a sack.o o' key.k rings.","Pronounced 'kinou' きのう when paired with 日, 昨日, 'tomorrow.'"
417,81,"外",Kanji,outside,,,"夕","ト",,,evening,divination,,,GAI,,soto,haza.reru,"Outside,.m in the evening.r I got a gypsie divination.r: a guy.o should wear a suit.k.",
418,,"ヨ",Radical,bristles,,,"ヨ",,,,"katakana YO",,,,,,,,"With some bristles.m, write a katakana.r ヨ.r in ink. ","This radical never appears by itself, only as a part of other characters. It has a variant that looks like a trident as in 'thing', 事 or 'brush' 聿. "
419,91,"当",Kanji,success,,,"⺌","ヨ",,,sparkles,bristles,,,TOU,,ata.ru,ata.ri,"Success.m isn't just sparkling.r jewels or fur bristles.r. Totally.o appropriate atire.k marks success.",
420,18,"事",Kanji,thing,,,"一","口","ヨ","亅",one,mouth,bristles,barb,JI,,koto,,"The things.m from that one.r mouth.r are harsh as bristles.r and barbs.r. Jesus.o will put cotton.k in that trap!",
421,2180,"尹",Kanji,"official rank",,,"ヨ","丿",,,bristles,slash,,,IN,,,,"This official.m rank.m allows punishing with slashes.r of bristles.k in.oside the dungeon.","Mostly used in names or as a radical."
422,947,"君",Kanji,"you (informal)",,,"尹","口",,,"official rank",mouth,,,KUN,,kimi,,"You.m! Use the bristles.r to clean the right.r side of the house. You are cunning.o, Kim.k.",
423,703,"伊",Kanji,Italy,,,"⺅","尹",,,"standing man","official rank",,,I,,,,"The Italian.m standing.r man.r has an official.r rank.r. I,.o and.o only.o I.o, outrank him in Italy.","伊 is used an abbreviation for Italy and for the sound 'i', い or イ."
424,,"聿",Radical,brush,,,"ヨ","土",,,bristles,ground,,,,,,,"The brushes's.m bristles.r painted the ground.r with ink.","This radical never appears by itself, only as a part of other characters."
425,169,"書",Kanji,write,,,"聿","日",,,brush,sun,,,SHO,,ka.ku,,"Write.m with a brush.r all day.r. Write short.o verses until yor cock.k falls off.",
426,582,"央",Kanji,center,,,"◫","大",,,eclipse,big,,,OU,,,,"The center.m of eclipse.r was big.r! Oh.o shit! The Central Intelligence Agency!",
427,430,"英",Kanji,England,,,"⺾","央",,,plant,center,,,EI,,,,"In England,.m plants.r are central.r to society. Ei.o#ghty-ei.oght species grow in the centers of courtyards.",
428,404,"映",Kanji,reflect,,,"日","央",,,sun,center,,,EI,,utsu.ru,utsu.su,"Reflect.m the sun's.r rays down the center.r. Ei.oghty-#ei.oght miles across A#ustr.kia's reflective terrain.",
429,71,"決",Kanji,decide,,,"⺡","ユ","人",,"water splash",yuan,person,,KETSU,,ki.meru,,"Decide.m if the water.r is worth many yuan.r to that person.r. I decided to photograph ketchup.o with a camera.k.",
430,83,"言",Kanji,talk,,,"亠","二","口",,lid,two,mouth,,GEN,GON,i.u,,"Talk.r stuff, and they'll put a lid.r on your two.r mouths.r. Gentlemen.o gonna.o say #ew.k, kay.",
431,1828,"吾",Kanji,"I (old fashioned)",,,"五","口",,,five,mouth,,,GO,,wa,a,"I.m got paid five.r cents to shut my mouth.r just to go.o a#way.k.","Mostly used in names or as a radical."
432,301,"語",Kanji,language,,,"言","吾",,,talk,"I (old fashioned)",,,GO,,kata.ru,,"With language.m, I talk.r in my.r old.r fashioned.r way. I go.o speak my language in Qatar.k.",
433,134,"話",Kanji,speak,,,"言","舌",,,talk,tongue,,,WA,,hana.su,,"Speak.m and talk.r with your tongue.r. Tell us what.o Hannah.k sues.k us for!",
434,1020,"詰",Kanji,pack,,,"言","吉",,,talk,luck,,,KITSU,,tsu.meru,,"It's so packed.m, we can't talk.r un#fortunately.r. Our kits.o were packed with steamers.k. and irons.",
435,162,"結",Kanji,bind,,,"糸","吉",,,thread,luck,,,KETSU,,musu.bu,,"Bind.m 'em with threads.r and bless their fortune.r. Ketchup.o and mustard.k are bound together.",
